Name,Pos,Team,Opponent,Projection,Projected Minutes,FanDuel Projection,FanDuel FPPM,DraftKings Projection,DraftKings FPPM
Tyrese Maxey,PG,PHI,NY,46.81,39,49.44,1.3,49.91,1.3
Paul George,PF,PHI,NY,36.58,37,38.74,1,39.48,1.1
VJ Edgecombe,SG,PHI,NY,33.28,37,35.21,1,35.63,1
Jaden McDaniels,SF,MIN,SA,31.42,37,33.72,0.9,33.45,0.9
Jalen Brunson,PG,NY,PHI,41.78,36,42.97,1.2,44.56,1.2
Julius Randle,PF,MIN,SA,39.15,35,40.44,1.2,41.49,1.2
Rudy Gobert,C,MIN,SA,35.11,35,37.91,1.1,36.65,1
Joel Embiid,C,PHI,NY,47.31,34,49.1,1.4,49.7,1.5
OG Anunoby,SF,NY,PHI,30.48,34,32.63,1,32.84,1
Kelly Oubre Jr.,SF,PHI,NY,25.74,34,27.47,0.8,27.63,0.8
Anthony Edwards,SG,MIN,SA,40.55,33,42.57,1.3,43.53,1.3
Stephon Castle,SG,SA,MIN,37.6,32,38.96,1.2,39.93,1.2
Mikal Bridges,SG,NY,PHI,26.33,32,28.19,0.9,28.01,0.9
Victor Wembanyama,C,SA,MIN,56.97,32,61.58,1.9,59.99,1.9
Karl-Anthony Towns,C,NY,PHI,41.06,31,42.55,1.4,43.58,1.4
Devin Vassell,SF,SA,MIN,25.3,31,26.7,0.9,27.32,0.9
De'Aaron Fox,PG,SA,MIN,33.24,30,34.75,1.2,35.45,1.2
Josh Hart,PF,NY,PHI,28.61,29,29.96,1,30.54,1.1
Naz Reid,C,MIN,SA,27.38,26,29.24,1.1,29.6,1.1
Julian Champagnie,PF,SA,MIN,20.56,25,21.75,0.9,22.42,0.9
Quentin Grimes,SG,PHI,NY,19.33,24,20.38,0.8,20.78,0.9
Dylan Harper,PG,SA,MIN,23.55,23,24.81,1.1,25.02,1.1
Miles McBride,SG,NY,PHI,15.86,21,16.77,0.8,17.63,0.8
Landry Shamet,SG,NY,PHI,13.67,21,14.46,0.7,15.07,0.7
Mitchell Robinson,C,NY,PHI,21.09,19,23.03,1.2,21.98,1.2
Keldon Johnson,SF,SA,MIN,19.14,19,19.82,1,20.33,1.1
Mike Conley,PG,MIN,SA,12.13,17,13.06,0.8,13.14,0.8
Harrison Barnes,PF,SA,MIN,11.75,17,12.34,0.7,12.74,0.7
Luke Kornet,C,SA,MIN,13.59,14,14.59,1,14.07,1
Carter Bryant,SG,SA,MIN,9.71,11,10.35,0.9,10.5,1
Justin Edwards,SF,PHI,NY,7.85,10,8.48,0.8,8.49,0.8
Bones Hyland,SG,MIN,SA,9.52,9,10.05,1.1,10.4,1.2
Andre Drummond,C,PHI,NY,9.08,8,9.67,1.2,9.65,1.2
Jordan Clarkson,SF,NY,PHI,6.58,8,6.87,0.9,7.06,0.9
Terrence Shannon Jr.,SF,MIN,SA,6.89,8,7.16,0.9,7.42,0.9
Dominick Barlow,PF,PHI,NY,4.38,5,4.78,1,4.59,0.9
Kyle Anderson,PF,MIN,SA,4.27,4,4.65,1.2,4.45,1.1
Adem Bona,C,PHI,NY,3.81,4,4.24,1.1,4.01,1
Mohamed Diawara,PF,NY,PHI,2.23,2,2.34,1.2,2.45,1.2
Zyon Pullin,SG,MIN,SA,0.0,0,0.0,0,0.0,0
Mason Plumlee,C,SA,MIN,0.0,0,0.0,0,0.0,0
Dalen Terry,PG,PHI,NY,0.0,0,0.0,0,0.0,0
Enrique Freeman,PF,MIN,SA,0.0,0,0.0,0,0.0,0
Joan Beringer,C,MIN,SA,0.0,0,0.0,0,0.0,0
Rocco Zikarsky,C,MIN,SA,0.0,0,0.0,0,0.0,0
Jeremy Sochan,PF,NY,PHI,0.0,0,0.0,0,0.0,0
Bismack Biyombo,C,SA,MIN,0.0,0,0.0,0,0.0,0
Donte DiVincenzo,SG,MIN,SA,0.0,0,0.0,0,0.0,0
Ariel Hukporti,C,NY,PHI,0.0,0,0.0,0,0.0,0
Dillon Jones,SF,NY,PHI,0.0,0,0.0,0,0.0,0
