Team,PG,SG,SF,PF,C,Poss,Pts/Poss Rank,Pts/Poss,HALFCOURT: Pts/Play Rank,HALFCOURT: Pts/Play,HALFCOURT: OREB% Rank,HALFCOURT: OREB%,HALFCOURT: % of Plays Rank,HALFCOURT: % of Plays,PUTBACKS: Pts/Miss Rank,PUTBACKS: Pts/Miss,PUTBACKS: Plays/Miss Rank,PUTBACKS: Plays/Miss,PUTBACKS: Pts/Play Rank,PUTBACKS: Pts/Play
League Averages,,,,,,,,115.7,,96.7,,30.0%,,78.3%,,23.8,,19.7,,117.6
DEN,Jamal Murray,Christian Braun,Cameron Johnson,Aaron Gordon,Nikola Jokic,324,66,108.5,41,99.7,76,21.4%,97,84.3%,97,10.9,90,13.5,86,78.9
MIL,Ryan Rollins,AJ Green,Gary Trent Jr.,Giannis Antetokounmpo,Myles Turner,295,24,121.5,28,105.6,17,34.9%,38,77.6%,52,22.2,24,24.0,83,89.7
POR,Jrue Holiday,Shaedon Sharpe,Toumani Camara,Deni Avdija,Donovan Clingan,247,62,110.8,62,93.9,55,27.2%,48,77.8%,86,15.5,83,15.0,59,100.0
SAS,Stephon Castle,Devin Vassell,Julian Champagnie,Harrison Barnes,Victor Wembanyama,236,86,103.9,93,82.0,59,26.0%,69,79.2%,83,19.1,62,17.9,55,105.0
ORL,Jalen Suggs,Desmond Bane,Franz Wagner,Paolo Banchero,Wendell Carter,225,79,104.9,79,87.6,69,24.7%,52,77.9%,79,19.3,76,16.7,45,113.3
TOR,Immanuel Quickley,Brandon Ingram,RJ Barrett,Scottie Barnes,Jakob Poeltl,203,21,123.2,0,116.9,62,25.9%,79,81.0%,55,21.7,86,14.8,24,144.4
HOU,Amen Thompson,Josh Okogie,Kevin Durant,Jabari Smith Jr.,Alperen Sengun,190,38,116.4,83,87.4,10,37.0%,62,78.5%,3,42.9,14,26.7,14,156.5
BOS,Payton Pritchard,Derrick White,Jaylen Brown,Josh Minott,Neemias Queta,178,59,110.9,48,98.1,72,24.0%,28,76.7%,38,23.7,72,16.9,28,138.5
MEM,Ja Morant,Kentavious Caldwell-Pope,Jaylen Wells,Jaren Jackson,Jock Landale,175,52,114.0,38,101.3,41,29.5%,72,80.0%,48,22.4,45,20.9,48,107.1
SAC,Dennis Schroder,Russell Westbrook,Zach LaVine,DeMar DeRozan,Domantas Sabonis,175,14,124.4,21,108.4,83,19.7%,86,82.0%,28,30.2,41,21.5,34,135.7
MIN,Anthony Edwards,Donte DiVincenzo,Jaden McDaniels,Julius Randle,Rudy Gobert,173,83,104.0,86,85.6,24,32.9%,14,75.0%,41,23.2,34,23.5,76,95.0
ATL,Nickeil Alexander-Walker,Dyson Daniels,Zaccharie Risacher,Jalen Johnson,Kristaps Porzingis,166,55,111.0,90,84.2,45,28.4%,55,78.1%,69,19.7,55,19.0,59,100.0
CHI,Josh Giddey,Tre Jones,Isaac Okoro,Matas Buzelis,Nikola Vucevic,160,41,115.6,59,94.7,14,34.9%,10,73.5%,34,24.3,31,23.6,59,100.0
WAS,Carlton Carrington,CJ McCollum,Kyshawn George,Khris Middleton,Alexandre Sarr,155,10,125.8,24,107.9,97,17.0%,34,77.0%,62,20.4,79,15.8,41,122.2
ORL,Desmond Bane,Anthony Black,Franz Wagner,Paolo Banchero,Wendell Carter,152,45,115.4,45,99.3,21,33.3%,72,80.0%,14,35.9,21,25.0,38,135.3
PHX,Devin Booker,Grayson Allen,Royce O'Neale,Ryan Dunn,Mark Williams,151,97,96.8,97,82.0,79,20.3%,66,79.0%,72,19.7,52,19.7,79,93.3
MIA,Davion Mitchell,Norman Powell,Pelle Larsson,Andrew Wiggins,Kel'el Ware,144,17,123.8,34,101.6,0,44.6%,0,71.5%,10,37.5,0,35.8,59,100.0
DEN,Jamal Murray,Bruce Brown,Tim Hardaway Jr.,Peyton Watson,Jonas Valanciunas,137,7,132.6,10,110.1,38,31.9%,45,77.8%,24,31.9,48,20.4,17,150.0
GSW,Stephen Curry,Brandin Podziemski,Jimmy Butler,Jonathan Kuminga,Draymond Green,137,90,103.6,72,90.8,90,17.8%,93,83.2%,66,20.0,93,13.0,17,150.0
MIN,Mike Conley,Donte DiVincenzo,Jaden McDaniels,Julius Randle,Rudy Gobert,137,69,107.2,52,97.5,86,18.9%,83,81.3%,93,12.3,69,16.9,100,70.0
LAC,James Harden,Bradley Beal,Kawhi Leonard,Derrick Jones Jr.,Ivica Zubac,130,3,132.8,3,116.0,7,37.5%,90,82.2%,17,32.7,7,29.1,52,106.3
DET,Cade Cunningham,Ausar Thompson,Duncan Robinson,Tobias Harris,Jalen Duren,128,31,118.3,55,96.5,34,32.1%,38,77.6%,7,40.0,38,23.2,7,169.2
NYK,Jalen Brunson,Landry Shamet,Mikal Bridges,OG Anunoby,Karl-Anthony Towns,113,48,115.0,14,109.4,52,27.5%,31,76.8%,90,14.3,66,17.8,93,75.0
BKN,Ben Saraf,Cameron Thomas,Terance Mann,Michael Porter,Nicolas Claxton,111,0,136.0,7,116.0,3,39.4%,7,72.9%,76,19.4,28,23.7,90,77.8
PHX,Devin Booker,Grayson Allen,Dillon Brooks,Royce O'Neale,Mark Williams,110,28,121.3,31,105.4,48,27.8%,14,75.0%,59,20.5,17,26.2,97,72.7
MIA,Dru Smith,Andrew Wiggins,Jaime Jaquez Jr.,Nikola Jovic,Simone Fontecchio,107,93,99.1,100,60.2,31,32.2%,21,75.4%,21,32.2,59,18.0,3,172.7
CHA,LaMelo Ball,Collin Sexton,Kon Knueppel,Miles Bridges,Ryan Kalkbrenner,103,34,117.2,17,108.4,93,17.1%,24,75.5%,45,22.9,97,11.4,0,200.0
OKC,Shai Gilgeous-Alexander,Ajay Mitchell,Cason Wallace,Chet Holmgren,Isaiah Hartenstein,101,100,95.0,76,90.0,100,11.1%,100,84.9%,100,10.9,100,6.5,10,166.7
UTA,Keyonte George,Sviatoslav Mykhailiuk,Lauri Markkanen,Kyle Filipowski,Walker Kessler,101,76,105.0,69,91.9,28,32.4%,3,71.7%,0,44.1,3,29.7,31,136.4
LAL,Luka Doncic,Austin Reaves,Marcus Smart,Rui Hachimura,Deandre Ayton,101,72,107.1,66,92.0,66,25.8%,59,78.4%,31,28.6,10,27.0,59,100.0
