Team,PG,SG,SF,PF,C,Poss,eFG% Rank,eFG%,Rim Rank,Rim,Short Mid Rank,Short Mid,Long Mid Rank,Long Mid,All Mid Rank,All Mid,Corner Three Rank,Corner Three,Non Corner Rank,Non Corner,All Three Rank,All Three
League Averages,,,,,,,,54.3%,,67.1%,,44.1%,,39.7%,,42.9%,,37.9%,,35.3%,,35.9%
DEN,Jamal Murray,Christian Braun,Cameron Johnson,Aaron Gordon,Nikola Jokic,324,66,52.5%,28,74.7%,52,41.9%,62,33.3%,66,39.3%,48,36.1%,79,30.6%,76,32.2%
MIL,Ryan Rollins,AJ Green,Gary Trent Jr.,Giannis Antetokounmpo,Myles Turner,295,48,54.6%,69,63.0%,69,36.7%,10,55.2%,48,42.7%,34,39.3%,38,38.9%,48,39.0%
POR,Jrue Holiday,Shaedon Sharpe,Toumani Camara,Deni Avdija,Donovan Clingan,247,45,54.9%,90,53.8%,48,42.5%,17,52.4%,34,45.9%,21,48.4%,41,36.8%,28,40.9%
SAS,Stephon Castle,Devin Vassell,Julian Champagnie,Harrison Barnes,Victor Wembanyama,236,86,49.0%,93,53.6%,86,34.0%,83,26.7%,90,31.2%,24,47.8%,34,39.2%,21,41.9%
ORL,Jalen Suggs,Desmond Bane,Franz Wagner,Paolo Banchero,Wendell Carter,225,83,49.7%,66,63.3%,79,35.4%,7,55.6%,52,42.7%,83,25.0%,69,33.3%,83,31.7%
TOR,Immanuel Quickley,Brandon Ingram,RJ Barrett,Scottie Barnes,Jakob Poeltl,203,7,61.5%,59,66.2%,7,57.9%,21,50.0%,3,54.8%,41,37.5%,21,42.0%,28,40.9%
HOU,Amen Thompson,Josh Okogie,Kevin Durant,Jabari Smith Jr.,Alperen Sengun,190,41,55.8%,52,69.0%,100,20.5%,62,33.3%,100,23.7%,59,33.3%,0,54.2%,0,49.2%
BOS,Payton Pritchard,Derrick White,Jaylen Brown,Josh Minott,Neemias Queta,178,59,53.1%,48,71.0%,72,35.7%,79,28.6%,86,33.9%,14,56.2%,52,35.7%,38,40.3%
MEM,Ja Morant,Kentavious Caldwell-Pope,Jaylen Wells,Jaren Jackson,Jock Landale,175,24,58.5%,14,80.0%,55,41.0%,41,42.9%,62,41.5%,59,33.3%,28,40.5%,55,38.2%
SAC,Dennis Schroder,Russell Westbrook,Zach LaVine,DeMar DeRozan,Domantas Sabonis,175,21,60.5%,3,85.3%,21,50.0%,52,40.0%,24,47.3%,28,44.4%,45,36.6%,52,39.0%
MIN,Anthony Edwards,Donte DiVincenzo,Jaden McDaniels,Julius Randle,Rudy Gobert,173,90,48.5%,86,55.3%,97,26.7%,14,53.8%,79,34.9%,10,56.5%,93,24.5%,69,34.7%
ATL,Nickeil Alexander-Walker,Dyson Daniels,Zaccharie Risacher,Jalen Johnson,Kristaps Porzingis,166,79,50.3%,62,63.9%,59,40.4%,62,33.3%,69,39.0%,55,35.3%,48,35.9%,59,35.7%
CHI,Josh Giddey,Tre Jones,Isaac Okoro,Matas Buzelis,Nikola Vucevic,160,52,53.8%,79,58.6%,21,50.0%,76,29.4%,55,42.2%,38,38.5%,31,40.0%,45,39.6%
WAS,Carlton Carrington,CJ McCollum,Kyshawn George,Khris Middleton,Alexandre Sarr,155,17,61.0%,76,60.5%,72,35.7%,0,60.0%,38,45.8%,3,58.3%,24,41.5%,7,44.6%
ORL,Desmond Bane,Anthony Black,Franz Wagner,Paolo Banchero,Wendell Carter,152,62,52.5%,72,62.0%,93,28.6%,52,40.0%,93,31.1%,76,27.3%,14,47.1%,17,42.2%
PHX,Devin Booker,Grayson Allen,Royce O'Neale,Ryan Dunn,Mark Williams,151,97,46.8%,97,51.6%,66,37.9%,93,22.2%,83,34.2%,52,35.7%,59,34.5%,66,34.8%
MIA,Davion Mitchell,Norman Powell,Pelle Larsson,Andrew Wiggins,Kel'el Ware,144,55,53.6%,10,80.5%,83,35.0%,3,57.1%,72,38.3%,66,31.2%,76,31.9%,79,31.7%
DEN,Jamal Murray,Bruce Brown,Tim Hardaway Jr.,Peyton Watson,Jonas Valanciunas,137,3,61.9%,45,73.1%,17,51.9%,34,43.8%,17,48.8%,72,30.0%,7,48.7%,3,44.9%
