Team,PG,SG,SF,PF,C,Poss,eFG% Rank,eFG%,Rim Rank,Rim,Short Mid Rank,Short Mid,Long Mid Rank,Long Mid,All Mid Rank,All Mid,Corner Three Rank,Corner Three,Non Corner Rank,Non Corner,All Three Rank,All Three
League Averages,,,,,,,,54.3%,,31.6%,,22.1%,,7.9%,,30.0%,,9.6%,,28.8%,,38.4%
DEN,Jamal Murray,Christian Braun,Cameron Johnson,Aaron Gordon,Nikola Jokic,324,66,52.5%,55,29.3%,55,22.2%,41,9.0%,59,31.2%,17,11.6%,38,28.0%,31,39.5%
MIL,Ryan Rollins,AJ Green,Gary Trent Jr.,Giannis Antetokounmpo,Myles Turner,295,48,54.6%,24,33.3%,62,21.8%,28,10.9%,52,32.7%,59,9.6%,69,24.4%,72,34.0%
POR,Jrue Holiday,Shaedon Sharpe,Toumani Camara,Deni Avdija,Donovan Clingan,247,45,54.9%,21,33.9%,86,18.7%,38,9.1%,79,27.8%,10,13.5%,62,24.8%,45,38.3%
SAS,Stephon Castle,Devin Vassell,Julian Champagnie,Harrison Barnes,Victor Wembanyama,236,86,49.0%,52,29.9%,66,21.7%,10,14.5%,28,36.2%,45,10.4%,86,23.5%,76,33.9%
ORL,Jalen Suggs,Desmond Bane,Franz Wagner,Paolo Banchero,Wendell Carter,225,83,49.7%,31,33.0%,31,24.5%,14,13.7%,7,38.2%,100,6.1%,90,22.6%,100,28.8%
TOR,Immanuel Quickley,Brandon Ingram,RJ Barrett,Scottie Barnes,Jakob Poeltl,203,7,61.5%,0,44.0%,97,13.0%,83,6.5%,100,19.6%,69,8.7%,41,27.7%,55,36.4%
HOU,Amen Thompson,Josh Okogie,Kevin Durant,Jabari Smith Jr.,Alperen Sengun,190,41,55.8%,14,35.6%,48,23.0%,52,8.4%,55,31.4%,90,7.9%,59,25.1%,90,33.0%
BOS,Payton Pritchard,Derrick White,Jaylen Brown,Josh Minott,Neemias Queta,178,59,53.1%,93,22.1%,10,27.3%,59,8.1%,34,35.5%,62,9.3%,10,33.1%,17,42.4%
MEM,Ja Morant,Kentavious Caldwell-Pope,Jaylen Wells,Jaren Jackson,Jock Landale,175,24,58.5%,38,31.9%,24,26.5%,48,8.4%,41,34.9%,34,10.8%,97,22.3%,86,33.1%
SAC,Dennis Schroder,Russell Westbrook,Zach LaVine,DeMar DeRozan,Domantas Sabonis,175,21,60.5%,69,26.7%,17,26.7%,34,9.9%,24,36.6%,28,11.2%,55,25.5%,52,36.6%
MIN,Anthony Edwards,Donte DiVincenzo,Jaden McDaniels,Julius Randle,Rudy Gobert,173,90,48.5%,41,30.8%,83,19.2%,59,8.1%,83,27.3%,14,13.4%,31,28.5%,21,41.9%
ATL,Nickeil Alexander-Walker,Dyson Daniels,Zaccharie Risacher,Jalen Johnson,Kristaps Porzingis,166,79,50.3%,66,27.0%,0,30.7%,66,8.0%,3,38.7%,41,10.4%,79,23.9%,66,34.4%
CHI,Josh Giddey,Tre Jones,Isaac Okoro,Matas Buzelis,Nikola Vucevic,160,52,53.8%,10,39.2%,90,18.7%,31,10.2%,72,28.9%,93,7.8%,76,24.1%,93,31.9%
WAS,Carlton Carrington,CJ McCollum,Kyshawn George,Khris Middleton,Alexandre Sarr,155,17,61.0%,24,33.3%,100,12.8%,69,7.8%,97,20.6%,72,8.5%,3,37.6%,7,46.1%
ORL,Desmond Bane,Anthony Black,Franz Wagner,Paolo Banchero,Wendell Carter,152,62,52.5%,7,39.6%,34,23.9%,76,6.9%,66,30.8%,97,6.9%,90,22.6%,97,29.6%
