Team,PG,SG,SF,PF,C,Poss,Pts/Poss Rank,Pts/Poss,ALL TRANSITION: Pts+/Poss Rank,ALL TRANSITION: Pts+/Poss,ALL TRANSITION: Freq Rank,ALL TRANSITION: Freq,ALL TRANSITION: Pts/Play Rank,ALL TRANSITION: Pts/Play,OFF STEALS: Pts+/Poss Rank,OFF STEALS: Pts+/Poss,OFF STEALS: Freq Rank,OFF STEALS: Freq,OFF STEALS: Pts/Play Rank,OFF STEALS: Pts/Play,OFF LIVE REBOUNDS: Pts+/Poss Rank,OFF LIVE REBOUNDS: Pts+/Poss,OFF LIVE REBOUNDS: Freq Rank,OFF LIVE REBOUNDS: Freq,OFF LIVE REBOUNDS: Pts/Play Rank,OFF LIVE REBOUNDS: Pts/Play
League Averages,,,,,,,,115.7,,3.1,,15.9%,,127.3,,1.9,,67.1%,,139.6,,1.2,,30.4%,,120.5
DEN,Jamal Murray,Christian Braun,Cameron Johnson,Aaron Gordon,Nikola Jokic,324,66,108.5,72,0.2,97,11.3%,62,111.8,59,1.6,69,62.5%,45,153.8,69,-1.7,86,21.4%,72,80.0
MIL,Ryan Rollins,AJ Green,Gary Trent Jr.,Giannis Antetokounmpo,Myles Turner,295,24,121.5,52,2.2,62,15.1%,48,123.3,52,2.0,66,63.0%,52,141.2,41,1.0,69,26.8%,38,120.8
POR,Jrue Holiday,Shaedon Sharpe,Toumani Camara,Deni Avdija,Donovan Clingan,247,62,110.8,28,5.1,34,17.2%,34,138.1,55,1.8,59,63.6%,62,123.8,21,3.3,59,29.3%,21,152.4
SAS,Stephon Castle,Devin Vassell,Julian Champagnie,Harrison Barnes,Victor Wembanyama,236,86,103.9,17,5.7,69,13.9%,21,151.6,17,3.9,52,65.4%,48,152.9,31,1.9,93,20.6%,14,158.3
ORL,Jalen Suggs,Desmond Bane,Franz Wagner,Paolo Banchero,Wendell Carter,225,79,104.9,41,3.4,38,17.0%,45,127.8,14,4.2,48,66.7%,28,164.3,59,-0.8,24,38.7%,52,104.5
TOR,Immanuel Quickley,Brandon Ingram,RJ Barrett,Scottie Barnes,Jakob Poeltl,203,21,123.2,86,-2.8,76,13.3%,97,75.0,76,0.0,79,56.2%,76,100.0,90,-3.3,66,27.4%,86,50.0
HOU,Amen Thompson,Josh Okogie,Kevin Durant,Jabari Smith Jr.,Alperen Sengun,190,38,116.4,34,3.8,83,12.7%,31,140.9,34,3.1,79,56.2%,21,177.8,52,-0.7,62,28.3%,62,90.9
BOS,Payton Pritchard,Derrick White,Jaylen Brown,Josh Minott,Neemias Queta,178,59,110.9,66,0.4,21,18.6%,79,90.6,31,3.2,10,84.6%,55,136.4,72,-2.3,10,42.3%,79,70.0
MEM,Ja Morant,Kentavious Caldwell-Pope,Jaylen Wells,Jaren Jackson,Jock Landale,175,52,114.0,59,0.6,66,14.5%,52,122.7,24,3.5,34,70.0%,7,200.0,79,-2.8,72,26.7%,69,84.6
