Team,PG,SG,SF,PF,C,Poss,eFG% Rank,eFG%,Rim Rank,Rim,Short Mid Rank,Short Mid,Long Mid Rank,Long Mid,All Mid Rank,All Mid,Corner Three Rank,Corner Three,Non Corner Rank,Non Corner,All Three Rank,All Three
League Averages,,,,,,,,54.3%,,67.1%,,44.1%,,39.7%,,42.9%,,37.9%,,35.3%,,35.9%
DEN,Jamal Murray,Christian Braun,Cameron Johnson,Aaron Gordon,Nikola Jokic,324,38,55.4%,59,73.8%,86,55.2%,72,54.3%,93,54.9%,3,19.0%,17,29.1%,0,27.1%
MIL,Ryan Rollins,AJ Green,Gary Trent Jr.,Giannis Antetokounmpo,Myles Turner,295,72,59.7%,31,65.4%,59,46.4%,14,36.7%,24,41.4%,93,64.0%,62,37.8%,90,43.9%
POR,Jrue Holiday,Shaedon Sharpe,Toumani Camara,Deni Avdija,Donovan Clingan,247,31,54.3%,66,75.4%,7,36.4%,93,60.0%,28,41.9%,34,33.3%,21,29.8%,10,30.6%
SAS,Stephon Castle,Devin Vassell,Julian Champagnie,Harrison Barnes,Victor Wembanyama,236,79,61.3%,38,67.3%,21,40.7%,41,45.0%,31,42.6%,66,44.1%,90,46.0%,97,45.2%
ORL,Jalen Suggs,Desmond Bane,Franz Wagner,Paolo Banchero,Wendell Carter,225,66,58.6%,52,72.1%,45,44.7%,83,58.3%,69,48.0%,62,43.5%,28,31.1%,38,35.3%
TOR,Immanuel Quickley,Brandon Ingram,RJ Barrett,Scottie Barnes,Jakob Poeltl,203,41,56.0%,14,63.5%,72,50.0%,52,50.0%,79,50.0%,59,42.9%,55,36.6%,55,38.2%
HOU,Amen Thompson,Josh Okogie,Kevin Durant,Jabari Smith Jr.,Alperen Sengun,190,90,63.4%,76,77.2%,48,45.2%,66,52.9%,62,47.5%,90,61.1%,31,33.3%,93,44.4%
BOS,Payton Pritchard,Derrick White,Jaylen Brown,Josh Minott,Neemias Queta,178,21,52.0%,55,72.5%,17,40.0%,90,58.8%,76,49.3%,34,33.3%,7,27.3%,3,28.4%
MEM,Ja Morant,Kentavious Caldwell-Pope,Jaylen Wells,Jaren Jackson,Jock Landale,175,10,50.3%,10,61.9%,38,42.6%,48,47.6%,34,44.0%,14,23.1%,72,40.9%,45,36.8%
SAC,Dennis Schroder,Russell Westbrook,Zach LaVine,DeMar DeRozan,Domantas Sabonis,175,0,49.0%,17,64.3%,0,29.4%,17,36.8%,0,32.1%,24,30.4%,66,38.9%,41,35.6%
MIN,Anthony Edwards,Donte DiVincenzo,Jaden McDaniels,Julius Randle,Rudy Gobert,173,93,63.7%,97,82.9%,90,57.1%,45,46.2%,86,54.2%,97,66.7%,52,35.5%,72,40.5%
ATL,Nickeil Alexander-Walker,Dyson Daniels,Zaccharie Risacher,Jalen Johnson,Kristaps Porzingis,166,45,56.5%,45,69.0%,83,54.5%,24,38.1%,52,46.5%,34,33.3%,31,33.3%,24,33.3%
CHI,Josh Giddey,Tre Jones,Isaac Okoro,Matas Buzelis,Nikola Vucevic,160,24,54.2%,0,58.2%,7,36.4%,28,40.0%,7,37.0%,31,31.6%,86,44.8%,66,39.6%
WAS,Carlton Carrington,CJ McCollum,Kyshawn George,Khris Middleton,Alexandre Sarr,155,52,57.4%,3,59.5%,28,41.2%,66,52.9%,41,45.1%,76,50.0%,83,44.4%,100,45.8%
ORL,Desmond Bane,Anthony Black,Franz Wagner,Paolo Banchero,Wendell Carter,152,48,57.0%,59,73.8%,79,51.7%,28,40.0%,66,47.7%,7,20.0%,48,35.1%,24,33.3%
PHX,Devin Booker,Grayson Allen,Royce O'Neale,Ryan Dunn,Mark Williams,151,34,55.0%,83,79.3%,34,41.9%,52,50.0%,38,44.9%,28,31.2%,38,34.1%,24,33.3%
MIA,Davion Mitchell,Norman Powell,Pelle Larsson,Andrew Wiggins,Kel'el Ware,144,62,58.2%,21,64.9%,72,50.0%,93,60.0%,83,51.2%,34,33.3%,76,41.5%,62,39.3%
DEN,Jamal Murray,Bruce Brown,Tim Hardaway Jr.,Peyton Watson,Jonas Valanciunas,137,28,54.2%,28,65.4%,69,48.7%,28,40.0%,59,46.9%,17,28.6%,66,38.9%,52,37.2%
GSW,Stephen Curry,Brandin Podziemski,Jimmy Butler,Jonathan Kuminga,Draymond Green,137,55,57.9%,48,69.7%,52,45.8%,3,11.1%,3,36.4%,72,46.2%,76,41.5%,79,42.6%
MIN,Mike Conley,Donte DiVincenzo,Jaden McDaniels,Julius Randle,Rudy Gobert,137,97,64.4%,93,82.8%,62,48.1%,52,50.0%,72,48.5%,21,30.0%,93,46.2%,83,42.9%
LAC,James Harden,Bradley Beal,Kawhi Leonard,Derrick Jones Jr.,Ivica Zubac,130,100,65.7%,100,87.5%,62,48.1%,21,37.5%,48,45.7%,7,20.0%,100,51.6%,86,43.9%
DET,Cade Cunningham,Ausar Thompson,Duncan Robinson,Tobias Harris,Jalen Duren,128,7,49.6%,21,64.9%,24,41.0%,0,0.0%,10,37.2%,83,54.5%,0,23.1%,21,32.4%
