Team,PG,SG,SF,PF,C,Poss,eFG% Rank,eFG%,Rim Rank,Rim,Short Mid Rank,Short Mid,Long Mid Rank,Long Mid,All Mid Rank,All Mid,Corner Three Rank,Corner Three,Non Corner Rank,Non Corner,All Three Rank,All Three
League Averages,,,,,,,,54.3%,,31.6%,,22.1%,,7.9%,,30.0%,,9.6%,,28.8%,,38.4%
DEN,Jamal Murray,Christian Braun,Cameron Johnson,Aaron Gordon,Nikola Jokic,324,38,55.4%,62,33.1%,38,22.0%,69,11.5%,62,33.4%,21,6.8%,45,26.6%,28,33.4%
MIL,Ryan Rollins,AJ Green,Gary Trent Jr.,Giannis Antetokounmpo,Myles Turner,295,72,59.7%,86,37.9%,0,11.9%,72,11.6%,7,23.5%,48,9.0%,76,29.6%,62,38.6%
POR,Jrue Holiday,Shaedon Sharpe,Toumani Camara,Deni Avdija,Donovan Clingan,247,31,54.3%,69,34.4%,10,16.2%,21,4.6%,3,20.7%,66,10.0%,90,34.9%,90,44.8%
SAS,Stephon Castle,Devin Vassell,Julian Champagnie,Harrison Barnes,Victor Wembanyama,236,79,61.3%,72,34.4%,3,14.8%,59,10.0%,10,24.9%,100,16.3%,31,24.4%,86,40.7%
ORL,Jalen Suggs,Desmond Bane,Franz Wagner,Paolo Banchero,Wendell Carter,225,66,58.6%,97,41.3%,17,19.2%,28,6.2%,17,25.5%,79,11.1%,21,22.1%,24,33.2%
TOR,Immanuel Quickley,Brandon Ingram,RJ Barrett,Scottie Barnes,Jakob Poeltl,203,41,56.0%,38,29.5%,100,34.5%,55,8.5%,97,43.0%,24,7.0%,3,20.5%,3,27.5%
HOU,Amen Thompson,Josh Okogie,Kevin Durant,Jabari Smith Jr.,Alperen Sengun,190,90,63.4%,83,37.4%,76,26.3%,66,10.6%,76,36.9%,69,10.1%,0,15.6%,0,25.7%
BOS,Payton Pritchard,Derrick White,Jaylen Brown,Josh Minott,Neemias Queta,178,21,52.0%,14,24.9%,24,20.1%,100,19.6%,86,39.7%,14,6.3%,66,29.1%,48,35.4%
MEM,Ja Morant,Kentavious Caldwell-Pope,Jaylen Wells,Jaren Jackson,Jock Landale,175,10,50.3%,0,17.2%,97,33.7%,86,12.9%,100,46.6%,52,9.2%,48,27.0%,52,36.2%
SAC,Dennis Schroder,Russell Westbrook,Zach LaVine,DeMar DeRozan,Domantas Sabonis,175,0,49.0%,45,31.2%,31,21.2%,90,12.9%,66,34.1%,90,13.5%,17,21.2%,41,34.7%
MIN,Anthony Edwards,Donte DiVincenzo,Jaden McDaniels,Julius Randle,Rudy Gobert,173,93,63.7%,3,22.8%,62,24.0%,48,8.4%,52,32.3%,28,7.2%,97,37.7%,93,44.9%
ATL,Nickeil Alexander-Walker,Dyson Daniels,Zaccharie Risacher,Jalen Johnson,Kristaps Porzingis,166,45,56.5%,93,41.2%,14,16.9%,93,13.1%,34,30.0%,10,5.6%,24,23.1%,7,28.7%
CHI,Josh Giddey,Tre Jones,Isaac Okoro,Matas Buzelis,Nikola Vucevic,160,24,54.2%,100,45.7%,7,15.9%,10,3.6%,0,19.6%,93,13.8%,7,21.0%,45,34.8%
WAS,Carlton Carrington,CJ McCollum,Kyshawn George,Khris Middleton,Alexandre Sarr,155,52,57.4%,31,28.3%,69,24.8%,76,12.4%,79,37.2%,31,8.3%,41,26.2%,38,34.5%
ORL,Desmond Bane,Anthony Black,Franz Wagner,Paolo Banchero,Wendell Carter,152,48,57.0%,90,37.9%,45,22.8%,62,10.3%,59,33.1%,3,3.4%,38,25.5%,10,29.0%
PHX,Devin Booker,Grayson Allen,Royce O'Neale,Ryan Dunn,Mark Williams,151,34,55.0%,7,24.0%,59,23.3%,83,12.7%,72,36.0%,72,10.7%,72,29.3%,72,40.0%
MIA,Davion Mitchell,Norman Powell,Pelle Larsson,Andrew Wiggins,Kel'el Ware,144,62,58.2%,24,27.1%,83,29.3%,7,3.6%,55,32.9%,76,10.7%,69,29.3%,72,40.0%
