Team,PG,SG,SF,PF,C,Poss,Pts/Poss Rank,Pts/Poss,ALL TRANSITION: Pts+/Poss Rank,ALL TRANSITION: Pts+/Poss,ALL TRANSITION: Freq Rank,ALL TRANSITION: Freq,ALL TRANSITION: Pts/Play Rank,ALL TRANSITION: Pts/Play,OFF STEALS: Pts+/Poss Rank,OFF STEALS: Pts+/Poss,OFF STEALS: Freq Rank,OFF STEALS: Freq,OFF STEALS: Pts/Play Rank,OFF STEALS: Pts/Play,OFF LIVE REBOUNDS: Pts+/Poss Rank,OFF LIVE REBOUNDS: Pts+/Poss,OFF LIVE REBOUNDS: Freq Rank,OFF LIVE REBOUNDS: Freq,OFF LIVE REBOUNDS: Pts/Play Rank,OFF LIVE REBOUNDS: Pts/Play
League Averages,,,,,,,,115.7,,3.1,,15.9%,,127.3,,1.9,,67.1%,,139.6,,1.2,,30.4%,,120.5
DEN,Jamal Murray,Christian Braun,Cameron Johnson,Aaron Gordon,Nikola Jokic,324,69,121.6,62,4.4,62,18.2%,52,128.6,59,3.0,52,71.4%,48,145.0,62,1.8,52,31.1%,59,123.5
MIL,Ryan Rollins,AJ Green,Gary Trent Jr.,Giannis Antetokounmpo,Myles Turner,295,45,116.6,55,4.2,45,16.6%,55,129.8,34,1.4,83,83.3%,28,133.3,79,2.8,69,35.4%,72,128.1
POR,Jrue Holiday,Shaedon Sharpe,Toumani Camara,Deni Avdija,Donovan Clingan,247,24,113.4,76,5.3,90,20.2%,62,133.3,97,5.0,69,76.2%,93,180.0,59,1.3,97,41.0%,48,119.4
SAS,Stephon Castle,Devin Vassell,Julian Champagnie,Harrison Barnes,Victor Wembanyama,236,41,116.1,10,-1.1,69,18.6%,3,100.0,14,0.2,7,54.2%,14,107.7,31,-0.3,59,33.7%,38,104.5
ORL,Jalen Suggs,Desmond Bane,Franz Wagner,Paolo Banchero,Wendell Carter,225,76,123.6,52,3.2,72,18.7%,45,122.5,45,2.1,21,61.1%,52,145.5,48,1.1,83,38.3%,41,113.8
TOR,Immanuel Quickley,Brandon Ingram,RJ Barrett,Scottie Barnes,Jakob Poeltl,203,66,120.7,59,4.4,52,17.7%,48,125.7,62,3.2,24,65.0%,55,153.8,55,1.2,79,38.2%,52,120.0
HOU,Amen Thompson,Josh Okogie,Kevin Durant,Jabari Smith Jr.,Alperen Sengun,190,86,127.9,97,7.8,59,17.9%,100,159.4,90,4.6,100,89.5%,72,164.7,86,3.2,34,28.3%,90,153.3
BOS,Payton Pritchard,Derrick White,Jaylen Brown,Josh Minott,Neemias Queta,178,52,118.5,100,8.2,93,21.3%,79,144.4,100,6.3,41,68.2%,90,173.3,69,1.9,86,38.3%,62,123.8
MEM,Ja Morant,Kentavious Caldwell-Pope,Jaylen Wells,Jaren Jackson,Jock Landale,175,0,101.7,28,1.2,31,14.9%,31,112.5,48,2.3,97,88.9%,83,171.4,21,-1.0,38,29.6%,24,86.7
SAC,Dennis Schroder,Russell Westbrook,Zach LaVine,DeMar DeRozan,Domantas Sabonis,175,7,105.1,14,-0.7,34,16.0%,3,100.0,83,4.3,90,86.7%,76,166.7,0,-5.0,24,25.0%,3,46.7
MIN,Anthony Edwards,Donte DiVincenzo,Jaden McDaniels,Julius Randle,Rudy Gobert,173,97,132.4,86,6.1,86,20.2%,72,140.0,69,3.2,59,73.3%,69,163.6,83,2.9,93,40.0%,76,129.2
ATL,Nickeil Alexander-Walker,Dyson Daniels,Zaccharie Risacher,Jalen Johnson,Kristaps Porzingis,166,79,124.1,72,5.1,76,18.7%,59,130.0,38,1.7,45,69.2%,41,144.4,93,4.1,76,37.5%,79,130.0
CHI,Josh Giddey,Tre Jones,Isaac Okoro,Matas Buzelis,Nikola Vucevic,160,3,102.5,48,3.1,41,16.2%,69,139.1,28,1.2,79,81.8%,28,133.3,66,1.9,48,30.9%,83,142.9
WAS,Carlton Carrington,CJ McCollum,Kyshawn George,Khris Middleton,Alexandre Sarr,155,31,114.8,79,6.0,83,19.4%,86,146.4,7,-1.2,48,70.0%,7,85.7,100,7.3,90,39.3%,93,166.7
